Poke ID,Abilities
1,overgrow
1,chlorophyll
2,overgrow
2,chlorophyll
3,overgrow
3,chlorophyll
4,blaze
4,solar-power
5,blaze
5,solar-power
6,blaze
6,solar-power
7,torrent
7,rain-dish
8,torrent
8,rain-dish
9,torrent
9,rain-dish
10,shield-dust
10,run-away
11,shed-skin
12,compound-eyes
12,tinted-lens
13,shield-dust
13,run-away
14,shed-skin
15,swarm
15,sniper
16,keen-eye
16,tangled-feet
16,big-pecks
17,keen-eye
17,tangled-feet
17,big-pecks
18,keen-eye
18,tangled-feet
18,big-pecks
19,run-away
19,guts
19,hustle
20,run-away
20,guts
20,hustle
21,keen-eye
21,sniper
22,keen-eye
22,sniper
23,intimidate
23,shed-skin
23,unnerve
24,intimidate
24,shed-skin
24,unnerve
25,static
25,lightning-rod
26,static
26,lightning-rod
27,sand-veil
27,sand-rush
28,sand-veil
28,sand-rush
29,poison-point
29,rivalry
29,hustle
30,poison-point
30,rivalry
30,hustle
31,poison-point
31,rivalry
31,sheer-force
32,poison-point
32,rivalry
32,hustle
33,poison-point
33,rivalry
33,hustle
34,poison-point
34,rivalry
34,sheer-force
35,cute-charm
35,magic-guard
35,friend-guard
36,cute-charm
36,magic-guard
36,unaware
37,flash-fire
37,drought
38,flash-fire
38,drought
39,cute-charm
39,competitive
39,friend-guard
40,cute-charm
40,competitive
40,frisk
41,inner-focus
41,infiltrator
42,inner-focus
42,infiltrator
43,chlorophyll
43,run-away
44,chlorophyll
44,stench
45,chlorophyll
45,effect-spore
46,effect-spore
46,dry-skin
46,damp
47,effect-spore
47,dry-skin
47,damp
48,compound-eyes
48,tinted-lens
48,run-away
49,shield-dust
49,tinted-lens
49,wonder-skin
50,sand-veil
50,arena-trap
50,sand-force
51,sand-veil
51,arena-trap
51,sand-force
52,pickup
52,technician
52,unnerve
53,limber
53,technician
53,unnerve
54,damp
54,cloud-nine
54,swift-swim
55,damp
55,cloud-nine
55,swift-swim
56,vital-spirit
56,anger-point
56,defiant
57,vital-spirit
57,anger-point
57,defiant
58,intimidate
58,flash-fire
58,justified
59,intimidate
59,flash-fire
59,justified
60,water-absorb
60,damp
60,swift-swim
61,water-absorb
61,damp
61,swift-swim
62,water-absorb
62,damp
62,swift-swim
63,synchronize
63,inner-focus
63,magic-guard
64,synchronize
64,inner-focus
64,magic-guard
65,synchronize
65,inner-focus
65,magic-guard
66,guts
66,no-guard
66,steadfast
67,guts
67,no-guard
67,steadfast
68,guts
68,no-guard
68,steadfast
69,chlorophyll
69,gluttony
70,chlorophyll
70,gluttony
71,chlorophyll
71,gluttony
72,clear-body
72,liquid-ooze
72,rain-dish
73,clear-body
73,liquid-ooze
73,rain-dish
74,rock-head
74,sturdy
74,sand-veil
75,rock-head
75,sturdy
75,sand-veil
76,rock-head
