Move ID,Move Name,Move Effect,Power,Accuracy,PP,Type,Damage Class
1,pound,Inflicts regular damage.,40,100,35,normal,physical
2,karate-chop,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,50,100,25,fighting,physical
3,double-slap,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15,85,10,normal,physical
4,comet-punch,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",18,85,15,normal,physical
5,mega-punch,Inflicts regular damage.,80,85,20,normal,physical
6,pay-day,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",40,100,20,normal,physical
7,fire-punch,Inflicts regular damage.  Has a 10% chance to burn the target.,75,100,15,fire,physical
8,ice-punch,Inflicts regular damage.  Has a 10% chance to freeze the target.,75,100,15,ice,physical
9,thunder-punch,Inflicts regular damage.  Has a 10% chance to paralyze the target.,75,100,15,electric,physical
10,scratch,Inflicts regular damage.,40,100,35,normal,physical
11,vice-grip,Inflicts regular damage.,55,100,30,normal,physical
12,guillotine,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",,30,5,normal,physical
13,razor-wind,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",80,100,10,normal,special
14,swords-dance,Raises the user's Attack by two stages.,,,20,normal,status
15,cut,Inflicts regular damage.,50,95,30,normal,physical
16,gust,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",40,100,35,flying,special
17,wing-attack,Inflicts regular damage.,60,100,35,flying,physical
18,whirlwind,"Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with suction cups or under the effect of ingrain.",,,20,normal,status
